

Actual Temperature:	24.1

600

Well	600
A1	0.039
B1	0.065
C1	0.076
D1	0.097
E1	0.217
F1	0.188
G1	0.168
H1	0.196
A2	0.195
B2	0.077
C2	0.095
D2	0.127
E2	0.215
F2	0.191
G2	0.478
H2	0.196
A3	0.169
B3	0.069
C3	0.072
D3	0.133
E3	0.195
F3	0.217
G3	0.175
H3	0.191
A4	0.167
B4	0.072
C4	0.180
D4	0.106
E4	0.194
F4	0.195
G4	0.186
H4	0.215
A5	0.178
B5	0.086
C5	0.185
D5	0.129
E5	0.140
F5	0.197
G5	0.213
H5	0.231
A6	0.174
B6	0.079
C6	0.164
D6	0.130
E6	0.109
F6	0.208
G6	0.186
H6	0.258
A7	0.175
B7	0.074
C7	0.176
D7	0.113
E7	0.113
F7	0.107
G7	0.318
H7	0.174
A8	0.166
B8	0.111
C8	0.175
D8	0.150
E8	0.099
F8	0.230
G8	0.274
H8	0.164
A9	0.274
B9	0.091
C9	0.172
D9	0.163
E9	0.182
F9	0.120
G9	0.110
H9	0.162
A10	0.171
B10	0.081
C10	0.090
D10	0.181
E10	0.095
F10	0.102
G10	0.211
H10	0.210
A11	0.177
B11	0.076
C11	0.109
D11	0.174
E11	0.084
F11	0.120
G11	0.207
H11	0.190
A12	0.175
B12	0.077
C12	0.077
D12	0.170
E12	0.078
F12	0.082
G12	0.196
H12	0.180

