

Actual Temperature:	21.3

600

Well	600
A1	0.033
B1	0.107
C1	0.083
D1	0.093
E1	0.270
F1	0.251
G1	0.255
H1	0.264
A2	0.244
B2	0.208
C2	0.089
D2	0.100
E2	0.265
F2	0.269
G2	0.259
H2	0.257
A3	0.255
B3	0.078
C3	0.072
D3	0.088
E3	0.272
F3	0.253
G3	0.249
H3	0.287
A4	0.256
B4	0.068
C4	0.270
D4	0.089
E4	0.246
F4	0.263
G4	0.254
H4	0.265
A5	0.260
B5	0.080
C5	0.267
D5	0.085
E5	0.098
F5	0.259
G5	0.271
H5	0.265
A6	0.253
B6	0.119
C6	0.269
D6	0.094
E6	0.093
F6	0.267
G6	0.257
H6	0.298
A7	0.264
B7	0.087
C7	0.271
D7	0.091
E7	0.099
F7	0.075
G7	0.255
H7	0.258
A8	0.254
B8	0.093
C8	0.271
D8	0.098
E8	0.082
F8	0.086
G8	0.158
H8	0.280
A9	0.250
B9	0.091
C9	0.274
D9	0.091
E9	0.082
F9	0.079
G9	0.088
H9	0.249
A10	0.248
B10	0.084
C10	0.112
D10	0.243
E10	0.085
F10	0.074
G10	0.237
H10	0.258
A11	0.248
B11	0.080
C11	0.061
D11	0.235
E11	0.083
F11	0.080
G11	0.269
H11	0.250
A12	0.245
B12	0.086
C12	0.234
D12	0.234
E12	0.078
F12	0.082
G12	0.243
H12	0.259

