

Actual Temperature:	24.0

600

Well	600
A1	0.045
B1	0.100
C1	0.089
D1	0.140
E1	0.207
F1	0.174
G1	0.201
H1	0.205
A2	0.206
B2	0.100
C2	0.087
D2	0.134
E2	0.212
F2	0.195
G2	0.185
H2	0.204
A3	0.193
B3	0.088
C3	0.095
D3	0.103
E3	0.203
F3	0.185
G3	0.196
H3	0.195
A4	0.192
B4	0.170
C4	0.176
D4	0.118
E4	0.197
F4	0.218
G4	0.205
H4	0.194
A5	0.184
B5	0.085
C5	0.190
D5	0.161
E5	0.095
F5	0.217
G5	0.217
H5	0.196
A6	0.191
B6	0.073
C6	0.204
D6	0.188
E6	0.090
F6	0.209
G6	0.213
H6	0.202
A7	0.263
B7	0.077
C7	0.219
D7	0.134
E7	0.169
F7	0.117
G7	0.177
H7	0.193
A8	0.177
B8	0.075
C8	0.238
D8	0.181
E8	0.223
F8	0.121
G8	0.257
H8	0.180
A9	0.194
B9	0.114
C9	0.227
D9	0.173
E9	0.223
F9	0.120
G9	1.864
H9	0.173
A10	0.197
B10	0.079
C10	0.160
D10	0.201
E10	0.167
F10	0.123
G10	0.201
H10	0.220
A11	0.195
B11	0.264
C11	0.166
D11	0.194
E11	0.151
F11	0.123
G11	0.210
H11	0.220
A12	0.199
B12	0.080
C12	0.145
D12	0.219
E12	0.148
F12	0.121
G12	0.215
H12	0.201

