

Actual Temperature:	21.5

600

Well	600
A1	0.032
B1	0.038
C1	0.080
D1	0.038
E1	0.211
F1	0.197
G1	0.213
H1	0.213
A2	0.211
B2	0.073
C2	0.072
D2	0.111
E2	0.198
F2	0.227
G2	0.211
H2	0.212
A3	0.166
B3	0.038
C3	0.078
D3	0.088
E3	0.216
F3	0.247
G3	0.226
H3	0.221
A4	0.170
B4	0.076
C4	0.175
D4	0.095
E4	0.238
F4	0.236
G4	0.233
H4	0.212
A5	0.174
B5	0.942
C5	0.175
D5	0.105
E5	0.143
F5	0.258
G5	0.220
H5	0.261
A6	0.162
B6	0.075
C6	0.176
D6	0.110
E6	0.106
F6	0.252
G6	0.245
H6	0.205
A7	0.189
B7	0.078
C7	0.170
D7	0.203
E7	0.116
F7	0.106
G7	0.154
H7	0.228
A8	0.146
B8	0.078
C8	0.171
D8	0.111
E8	0.118
F8	0.114
G8	0.124
H8	0.223
A9	0.183
B9	0.047
C9	0.182
D9	0.142
E9	0.773
F9	0.093
G9	0.112
H9	0.196
A10	0.165
B10	0.038
C10	0.122
D10	0.202
E10	0.109
F10	0.106
G10	0.264
H10	0.266
A11	0.177
B11	0.067
C11	0.117
D11	0.198
E11	0.135
F11	0.097
G11	0.275
H11	0.221
A12	0.186
B12	0.090
C12	0.111
D12	0.204
E12	0.115
F12	0.102
G12	0.189
H12	0.275

