

Actual Temperature:	25.4

600

Well	600
A1	0.048
B1	0.187
C1	0.180
D1	0.615
E1	0.314
F1	0.307
G1	0.326
H1	0.372
A2	0.290
B2	0.650
C2	0.162
D2	0.228
E2	0.306
F2	0.316
G2	0.310
H2	0.330
A3	0.276
B3	0.202
C3	0.188
D3	0.169
E3	0.316
F3	0.315
G3	0.340
H3	0.351
A4	0.277
B4	0.180
C4	0.269
D4	0.406
E4	0.468
F4	0.332
G4	0.325
H4	0.306
A5	0.274
B5	0.213
C5	0.284
D5	0.505
E5	0.138
F5	0.329
G5	0.341
H5	0.286
A6	0.274
B6	0.180
C6	0.269
D6	0.298
E6	0.135
F6	0.320
G6	0.285
H6	0.336
A7	0.239
B7	0.154
C7	0.236
D7	0.275
E7	0.208
F7	0.417
G7	0.195
H7	0.283
A8	0.260
B8	0.162
C8	0.248
D8	0.293
E8	0.368
F8	0.247
G8	0.229
H8	0.313
A9	0.300
B9	0.139
C9	0.254
D9	0.268
E9	0.208
F9	0.315
G9	0.223
H9	0.261
A10	0.272
B10	0.116
C10	0.263
D10	0.262
E10	0.252
F10	0.264
G10	0.301
H10	0.354
A11	0.275
B11	0.131
C11	0.238
D11	0.243
E11	0.154
F11	0.237
G11	0.340
H11	0.371
A12	0.278
B12	0.150
C12	0.264
D12	0.275
E12	0.283
F12	0.234
G12	0.308
H12	0.345

