

Actual Temperature:	24.0

600

Well	600
A1	0.042
B1	0.109
C1	0.110
D1	0.092
E1	0.289
F1	0.262
G1	0.299
H1	0.311
A2	0.278
B2	0.107
C2	0.112
D2	0.089
E2	0.294
F2	0.260
G2	0.276
H2	0.295
A3	0.274
B3	0.105
C3	0.126
D3	0.106
E3	0.303
F3	0.257
G3	0.268
H3	0.301
A4	0.262
B4	0.116
C4	0.265
D4	0.179
E4	0.229
F4	0.296
G4	0.282
H4	0.249
A5	0.293
B5	0.123
C5	0.262
D5	0.188
E5	0.258
F5	0.301
G5	0.302
H5	0.252
A6	0.254
B6	0.107
C6	0.269
D6	0.172
E6	0.086
F6	0.308
G6	0.282
H6	0.260
A7	0.244
B7	0.114
C7	0.275
D7	0.187
E7	0.204
F7	0.190
G7	0.109
H7	0.266
A8	0.258
B8	0.116
C8	0.358
D8	0.240
E8	0.201
F8	0.184
G8	0.105
H8	0.252
A9	0.283
B9	0.121
C9	0.300
D9	0.159
E9	0.287
F9	0.175
G9	0.108
H9	0.258
A10	0.270
B10	0.125
C10	0.094
D10	0.255
E10	0.098
F10	0.137
G10	0.259
H10	0.268
A11	0.294
B11	0.111
C11	0.077
D11	0.266
E11	0.097
F11	0.131
G11	0.273
H11	0.289
A12	0.277
B12	0.105
C12	0.074
D12	0.258
E12	0.106
F12	0.157
G12	0.264
H12	0.307

