

Actual Temperature:	21.5

600

Well	600
A1	0.034
B1	0.134
C1	0.063
D1	0.045
E1	0.289
F1	0.357
G1	0.241
H1	0.231
A2	0.247
B2	0.187
C2	0.437
D2	0.096
E2	0.257
F2	0.297
G2	0.348
H2	0.252
A3	0.226
B3	0.097
C3	0.053
D3	0.434
E3	0.291
F3	0.226
G3	0.326
H3	0.252
A4	0.229
B4	0.113
C4	0.199
D4	0.214
E4	0.230
F4	0.348
G4	0.184
H4	0.303
A5	0.228
B5	0.085
C5	0.218
D5	0.138
E5	0.208
F5	0.228
G5	0.225
H5	0.269
A6	0.221
B6	0.092
C6	0.189
D6	0.469
E6	0.145
F6	0.261
G6	0.328
H6	0.224
A7	0.251
B7	0.111
C7	0.210
D7	0.206
E7	0.154
F7	0.155
G7	0.132
H7	0.215
A8	0.256
B8	0.045
C8	0.209
D8	0.159
E8	0.341
F8	0.159
G8	0.176
H8	0.279
A9	0.237
B9	0.881
C9	0.216
D9	0.182
E9	0.231
F9	0.222
G9	0.147
H9	0.273
A10	0.213
B10	0.195
C10	0.106
D10	0.258
E10	0.094
F10	0.207
G10	0.223
H10	0.405
A11	0.261
B11	0.091
C11	0.218
D11	0.219
E11	0.167
F11	0.187
G11	0.286
H11	0.245
A12	0.220
B12	0.119
C12	0.086
D12	0.211
E12	0.175
F12	0.167
G12	0.249
H12	0.324

