

Actual Temperature:	25.4

600

Well	600
A1	0.038
B1	0.335
C1	0.569
D1	0.296
E1	0.299
F1	0.346
G1	0.313
H1	0.260
A2	0.277
B2	0.154
C2	0.630
D2	0.294
E2	0.274
F2	0.347
G2	0.311
H2	0.306
A3	0.262
B3	0.206
C3	0.200
D3	0.168
E3	0.293
F3	0.343
G3	0.320
H3	0.307
A4	0.237
B4	0.147
C4	0.265
D4	0.298
E4	0.323
F4	0.285
G4	0.323
H4	0.285
A5	0.250
B5	0.186
C5	0.275
D5	0.194
E5	0.386
F5	0.275
G5	0.210
H5	0.298
A6	0.231
B6	0.220
C6	0.259
D6	0.230
E6	0.160
F6	0.679
G6	0.252
H6	0.301
A7	0.227
B7	0.204
C7	0.210
D7	0.393
E7	0.275
F7	0.338
G7	0.325
H7	0.334
A8	0.258
B8	0.122
C8	0.231
D8	0.366
E8	0.233
F8	0.320
G8	0.348
H8	0.324
A9	0.272
B9	0.141
C9	0.216
D9	0.300
E9	0.290
F9	0.234
G9	0.348
H9	0.334
A10	0.274
B10	0.135
C10	0.132
D10	0.279
E10	0.183
F10	0.344
G10	0.270
H10	0.285
A11	0.289
B11	0.202
C11	0.234
D11	0.281
E11	0.168
F11	0.392
G11	0.290
H11	0.300
A12	0.284
B12	0.637
C12	0.337
D12	0.269
E12	0.193
F12	0.342
G12	0.277
H12	0.284

