

Actual Temperature:	25.4

600

Well	600
A1	0.038
B1	0.143
C1	0.152
D1	0.150
E1	0.207
F1	0.229
G1	0.251
H1	0.199
A2	0.205
B2	0.144
C2	0.132
D2	0.171
E2	0.174
F2	0.293
G2	0.196
H2	0.203
A3	0.176
B3	0.130
C3	0.140
D3	0.144
E3	0.190
F3	0.276
G3	0.238
H3	0.196
A4	0.205
B4	0.130
C4	0.208
D4	0.117
E4	0.211
F4	0.195
G4	0.174
H4	0.248
A5	0.196
B5	0.137
C5	0.180
D5	0.123
E5	0.153
F5	0.174
G5	0.418
H5	0.199
A6	0.177
B6	0.128
C6	0.191
D6	0.140
E6	0.127
F6	0.163
G6	0.170
H6	0.181
A7	0.147
B7	0.172
C7	0.150
D7	0.196
E7	0.179
F7	0.156
G7	0.194
H7	0.215
A8	0.173
B8	0.146
C8	0.149
D8	0.143
E8	0.167
F8	0.149
G8	0.170
H8	0.252
A9	0.185
B9	0.127
C9	0.190
D9	0.168
E9	0.125
F9	0.155
G9	0.171
H9	0.191
A10	0.188
B10	0.099
C10	0.136
D10	0.181
E10	0.189
F10	0.146
G10	0.174
H10	0.245
A11	0.179
B11	0.098
C11	0.102
D11	0.174
E11	0.175
F11	0.134
G11	0.200
H11	0.166
A12	0.197
B12	0.161
C12	0.110
D12	0.172
E12	0.164
F12	0.128
G12	0.183
H12	0.321

