

Actual Temperature:	24.0

600

Well	600
A1	0.041
B1	0.122
C1	0.129
D1	0.175
E1	0.189
F1	0.191
G1	0.195
H1	0.217
A2	0.203
B2	0.080
C2	0.114
D2	0.070
E2	0.202
F2	0.195
G2	0.201
H2	0.216
A3	0.193
B3	0.103
C3	0.113
D3	0.070
E3	0.189
F3	0.206
G3	0.197
H3	0.241
A4	0.192
B4	0.131
C4	0.187
D4	0.155
E4	0.180
F4	0.192
G4	0.190
H4	0.205
A5	0.191
B5	0.098
C5	0.193
D5	0.156
E5	0.222
F5	0.192
G5	0.203
H5	0.217
A6	0.195
B6	0.082
C6	0.178
D6	0.147
E6	0.108
F6	0.202
G6	0.188
H6	0.214
A7	0.197
B7	0.107
C7	0.194
D7	0.169
E7	0.140
F7	0.131
G7	0.092
H7	0.222
A8	0.188
B8	0.121
C8	0.199
D8	0.137
E8	0.141
F8	0.123
G8	0.095
H8	0.202
A9	0.191
B9	0.091
C9	0.198
D9	0.151
E9	0.243
F9	0.122
G9	0.096
H9	0.204
A10	0.192
B10	0.081
C10	0.085
D10	0.221
E10	0.081
F10	0.119
G10	0.208
H10	0.184
A11	0.185
B11	0.081
C11	0.080
D11	0.177
E11	0.087
F11	0.117
G11	0.210
H11	0.200
A12	0.193
B12	0.086
C12	0.108
D12	0.193
E12	0.082
F12	0.128
G12	0.212
H12	0.170

