

Actual Temperature:	25.3

600

Well	600
A1	0.034
B1	0.157
C1	0.138
D1	0.148
E1	0.224
F1	0.333
G1	0.246
H1	0.648
A2	0.206
B2	0.144
C2	0.191
D2	0.150
E2	0.235
F2	0.224
G2	0.324
H2	0.259
A3	0.215
B3	0.175
C3	0.150
D3	0.146
E3	0.221
F3	0.351
G3	0.382
H3	0.456
A4	0.228
B4	0.221
C4	0.229
D4	0.122
E4	0.242
F4	0.223
G4	0.237
H4	0.259
A5	0.214
B5	0.141
C5	0.225
D5	0.131
E5	0.134
F5	0.240
G5	0.235
H5	0.257
A6	0.224
B6	0.181
C6	0.229
D6	0.105
E6	0.107
F6	0.226
G6	0.784
H6	0.284
A7	0.197
B7	0.205
C7	0.196
D7	0.889
E7	0.135
F7	0.143
G7	0.202
H7	0.212
A8	0.223
B8	0.145
C8	0.200
D8	0.145
E8	0.296
F8	0.188
G8	0.236
H8	0.269
A9	0.245
B9	0.144
C9	0.190
D9	0.145
E9	0.114
F9	0.148
G9	0.199
H9	0.271
A10	0.237
B10	0.107
C10	0.154
D10	0.250
E10	0.168
F10	0.146
G10	0.304
H10	0.280
A11	0.222
B11	0.118
C11	0.151
D11	0.261
E11	0.152
F11	0.278
G11	0.263
H11	0.491
A12	0.213
B12	0.092
C12	0.208
D12	0.246
E12	0.154
F12	0.231
G12	0.254
H12	0.639

