

Actual Temperature:	24.2

600

Well	600
A1	0.041
B1	0.088
C1	0.075
D1	0.093
E1	0.200
F1	0.214
G1	0.184
H1	0.200
A2	0.230
B2	0.085
C2	0.075
D2	0.074
E2	0.206
F2	0.201
G2	0.162
H2	0.212
A3	0.200
B3	0.070
C3	0.081
D3	0.101
E3	0.180
F3	0.187
G3	0.166
H3	0.201
A4	0.251
B4	0.150
C4	0.183
D4	0.075
E4	0.172
F4	0.177
G4	0.204
H4	0.185
A5	0.227
B5	0.082
C5	0.165
D5	0.081
E5	0.069
F5	0.176
G5	0.178
H5	0.187
A6	0.223
B6	0.075
C6	0.157
D6	0.078
E6	0.066
F6	0.170
G6	0.173
H6	0.153
A7	0.189
B7	0.078
C7	0.159
D7	0.086
E7	0.068
F7	0.066
G7	0.104
H7	0.156
A8	0.200
B8	0.086
C8	0.174
D8	0.084
E8	0.088
F8	0.073
G8	0.095
H8	0.188
A9	0.193
B9	0.083
C9	0.175
D9	0.073
E9	0.071
F9	0.074
G9	0.090
H9	0.158
A10	0.193
B10	0.077
C10	0.086
D10	0.165
E10	0.076
F10	0.067
G10	0.161
H10	0.190
A11	0.217
B11	0.075
C11	0.062
D11	0.175
E11	0.080
F11	0.077
G11	0.160
H11	0.189
A12	0.187
B12	0.067
C12	0.116
D12	0.180
E12	0.081
F12	0.075
G12	0.160
H12	0.229

