primer_name	index	Zotu	count	tot
926R_inline1	IT001	Zotu1	53	101
926R_inline1	IT001	Zotu2	6	101
926R_inline1	IT001	Zotu3	42	101
926R_inline1	IT002	Zotu1	796	1040
926R_inline1	IT002	Zotu2	210	1040
926R_inline1	IT002	Zotu3	8	1040
926R_inline1	IT002	Zotu8	26	1040
926R_inline1	IT003	Zotu1	957	1270
926R_inline1	IT003	Zotu2	129	1270
926R_inline1	IT003	Zotu3	129	1270
926R_inline1	IT003	Zotu8	11	1270
926R_inline1	IT003	Zotu14	18	1270
926R_inline1	IT003	Zotu16	10	1270
926R_inline1	IT003	Zotu18	10	1270
926R_inline1	IT003	Zotu19	6	1270
926R_inline1	IT004	Zotu1	1158	1586
926R_inline1	IT004	Zotu2	180	1586
926R_inline1	IT004	Zotu3	157	1586
926R_inline1	IT004	Zotu4	8	1586
926R_inline1	IT004	Zotu8	23	1586
926R_inline1	IT004	Zotu9	5	1586
926R_inline1	IT004	Zotu14	29	1586
926R_inline1	IT004	Zotu16	14	1586
926R_inline1	IT004	Zotu18	12	1586
926R_inline1	IT005	Zotu1	1248	1679
926R_inline1	IT005	Zotu2	153	1679
926R_inline1	IT005	Zotu3	194	1679
926R_inline1	IT005	Zotu4	8	1679
926R_inline1	IT005	Zotu8	19	1679
926R_inline1	IT005	Zotu14	23	1679
926R_inline1	IT005	Zotu18	14	1679
926R_inline1	IT005	Zotu19	20	1679
926R_inline1	IT006	Zotu1	1325	1723
926R_inline1	IT006	Zotu2	185	1723
926R_inline1	IT006	Zotu3	141	1723
926R_inline1	IT006	Zotu4	6	1723
926R_inline1	IT006	Zotu10	11	1723
926R_inline1	IT006	Zotu14	25	1723
926R_inline1	IT006	Zotu18	12	1723
926R_inline1	IT006	Zotu19	6	1723
926R_inline1	IT006	Zotu20	12	1723
926R_inline1	IT007	Zotu1	670	1498
926R_inline1	IT007	Zotu2	436	1498
926R_inline1	IT007	Zotu3	345	1498
926R_inline1	IT007	Zotu4	6	1498
926R_inline1	IT007	Zotu8	26	1498
926R_inline1	IT007	Zotu19	15	1498
926R_inline1	IT008	Zotu1	938	1290
926R_inline1	IT008	Zotu2	145	1290
926R_inline1	IT008	Zotu3	90	1290
926R_inline1	IT008	Zotu4	7	1290
926R_inline1	IT008	Zotu8	19	1290
926R_inline1	IT008	Zotu14	27	1290
926R_inline1	IT008	Zotu16	14	1290
926R_inline1	IT008	Zotu18	19	1290
926R_inline1	IT008	Zotu19	9	1290
926R_inline1	IT008	Zotu20	7	1290
926R_inline1	IT008	Zotu26	11	1290
926R_inline1	IT008	Zotu41	4	1290
926R_inline1	IT009	Zotu1	935	1302
926R_inline1	IT009	Zotu2	216	1302
926R_inline1	IT009	Zotu3	93	1302
926R_inline1	IT009	Zotu8	10	1302
926R_inline1	IT009	Zotu9	5	1302
926R_inline1	IT009	Zotu18	20	1302
926R_inline1	IT009	Zotu19	7	1302
926R_inline1	IT009	Zotu21	10	1302
926R_inline1	IT009	Zotu26	6	1302
926R_inline1	IT010	Zotu1	990	1277
926R_inline1	IT010	Zotu2	139	1277
926R_inline1	IT010	Zotu3	93	1277
926R_inline1	IT010	Zotu4	7	1277
926R_inline1	IT010	Zotu8	7	1277
926R_inline1	IT010	Zotu9	4	1277
926R_inline1	IT010	Zotu16	9	1277
926R_inline1	IT010	Zotu18	11	1277
926R_inline1	IT010	Zotu19	8	1277
926R_inline1	IT010	Zotu21	9	1277
926R_inline1	IT011	Zotu1	1150	1566
926R_inline1	IT011	Zotu2	186	1566
926R_inline1	IT011	Zotu3	137	1566
926R_inline1	IT011	Zotu8	22	1566
926R_inline1	IT011	Zotu10	11	1566
926R_inline1	IT011	Zotu14	33	1566
926R_inline1	IT011	Zotu19	9	1566
926R_inline1	IT011	Zotu20	9	1566
926R_inline1	IT011	Zotu21	9	1566
926R_inline1	IT012	Zotu1	1108	1426
926R_inline1	IT012	Zotu2	156	1426
926R_inline1	IT012	Zotu3	111	1426
926R_inline1	IT012	Zotu4	8	1426
926R_inline1	IT012	Zotu8	14	1426
926R_inline1	IT012	Zotu16	10	1426
926R_inline1	IT012	Zotu19	9	1426
926R_inline1	IT012	Zotu20	10	1426
926R_inline1	IT013	Zotu3	898	898
926R_inline1	IT014	Zotu1	12	1748
926R_inline1	IT014	Zotu2	9	1748
926R_inline1	IT014	Zotu3	1719	1748
926R_inline1	IT014	Zotu8	8	1748
926R_inline1	IT015	Zotu1	11	822
926R_inline1	IT015	Zotu2	48	822
926R_inline1	IT015	Zotu3	747	822
926R_inline1	IT015	Zotu22	5	822
926R_inline1	IT015	Zotu59	6	822
926R_inline1	IT015	Zotu60	5	822
926R_inline1	IT016	Zotu1	46	1099
926R_inline1	IT016	Zotu2	5	1099
926R_inline1	IT016	Zotu3	1004	1099
926R_inline1	IT016	Zotu4	31	1099
926R_inline1	IT016	Zotu40	9	1099
926R_inline1	IT016	Zotu65	4	1099
926R_inline1	IT017	Zotu1	29	1510
926R_inline1	IT017	Zotu2	11	1510
