primer_name	index	Zotu	count	tot
926R_inline5	IT002	Zotu1	4549	5865
926R_inline5	IT002	Zotu2	1119	5865
926R_inline5	IT002	Zotu5	177	5865
926R_inline5	IT002	Zotu6	16	5865
926R_inline5	IT002	Zotu7	4	5865
926R_inline5	IT003	Zotu1	3585	4512
926R_inline5	IT003	Zotu2	505	4512
926R_inline5	IT003	Zotu5	87	4512
926R_inline5	IT003	Zotu6	21	4512
926R_inline5	IT003	Zotu8	284	4512
926R_inline5	IT003	Zotu9	30	4512
926R_inline5	IT004	Zotu1	4498	6488
926R_inline5	IT004	Zotu2	980	6488
926R_inline5	IT004	Zotu5	164	6488
926R_inline5	IT004	Zotu6	28	6488
926R_inline5	IT004	Zotu8	743	6488
926R_inline5	IT004	Zotu9	68	6488
926R_inline5	IT004	Zotu10	7	6488
926R_inline5	IT005	Zotu1	4556	6214
926R_inline5	IT005	Zotu2	929	6214
926R_inline5	IT005	Zotu6	23	6214
926R_inline5	IT005	Zotu7	4	6214
926R_inline5	IT005	Zotu8	606	6214
926R_inline5	IT005	Zotu9	42	6214
926R_inline5	IT005	Zotu11	39	6214
926R_inline5	IT005	Zotu12	8	6214
926R_inline5	IT005	Zotu13	7	6214
926R_inline5	IT006	Zotu1	5080	6638
926R_inline5	IT006	Zotu2	772	6638
926R_inline5	IT006	Zotu5	101	6638
926R_inline5	IT006	Zotu8	609	6638
926R_inline5	IT006	Zotu9	60	6638
926R_inline5	IT006	Zotu10	4	6638
926R_inline5	IT006	Zotu13	12	6638
926R_inline5	IT007	Zotu1	1877	4846
926R_inline5	IT007	Zotu2	1348	4846
926R_inline5	IT007	Zotu6	374	4846
926R_inline5	IT007	Zotu8	1237	4846
926R_inline5	IT007	Zotu13	10	4846
926R_inline5	IT008	Zotu1	4922	6253
926R_inline5	IT008	Zotu2	567	6253
926R_inline5	IT008	Zotu5	111	6253
926R_inline5	IT008	Zotu6	26	6253
926R_inline5	IT008	Zotu8	542	6253
926R_inline5	IT008	Zotu9	69	6253
926R_inline5	IT008	Zotu10	9	6253
926R_inline5	IT008	Zotu14	7	6253
926R_inline5	IT009	Zotu1	4265	5175
926R_inline5	IT009	Zotu2	439	5175
926R_inline5	IT009	Zotu5	59	5175
926R_inline5	IT009	Zotu6	19	5175
926R_inline5	IT009	Zotu8	359	5175
926R_inline5	IT009	Zotu9	34	5175
926R_inline5	IT010	Zotu1	4837	6446
926R_inline5	IT010	Zotu2	761	6446
926R_inline5	IT010	Zotu5	111	6446
926R_inline5	IT010	Zotu6	39	6446
926R_inline5	IT010	Zotu7	9	6446
926R_inline5	IT010	Zotu8	618	6446
926R_inline5	IT010	Zotu9	49	6446
926R_inline5	IT010	Zotu12	9	6446
926R_inline5	IT010	Zotu13	9	6446
926R_inline5	IT010	Zotu14	4	6446
926R_inline5	IT011	Zotu1	3810	5316
926R_inline5	IT011	Zotu2	659	5316
926R_inline5	IT011	Zotu5	111	5316
926R_inline5	IT011	Zotu6	36	5316
926R_inline5	IT011	Zotu8	608	5316
926R_inline5	IT011	Zotu9	63	5316
926R_inline5	IT011	Zotu12	7	5316
926R_inline5	IT011	Zotu13	17	5316
926R_inline5	IT011	Zotu16	5	5316
926R_inline5	IT012	Zotu1	4314	5885
926R_inline5	IT012	Zotu2	775	5885
